freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.684e+02,3.461e+01,1.823e+01,7.212e+02
1.6,4.041e+02,5.592e+01,4.820e+01,5.082e+02
3.1,5.843e+01,4.505e+01,4.879e+01,1.523e+02
4.7,4.058e+02,5.272e+01,4.642e+01,5.050e+02
6.3,1.324e+03,6.046e+01,4.546e+01,1.429e+03
7.8,2.155e+03,5.904e+01,4.849e+01,2.262e+03
9.4,3.153e+03,5.699e+01,6.269e+01,3.273e+03
11.0,4.114e+03,5.495e+01,6.517e+01,4.234e+03
12.5,5.116e+03,5.567e+01,5.289e+01,5.225e+03
14.1,6.805e+03,4.425e+01,4.669e+01,6.896e+03
15.7,8.739e+03,4.595e+01,5.264e+01,8.837e+03
17.2,1.143e+04,4.698e+01,5.208e+01,1.153e+04
18.8,1.438e+04,4.970e+01,5.967e+01,1.449e+04
20.4,1.479e+04,5.768e+01,6.399e+01,1.492e+04
22.0,1.398e+04,5.382e+01,6.270e+01,1.410e+04
23.5,1.599e+04,5.098e+01,6.217e+01,1.610e+04
25.1,2.067e+04,5.552e+01,6.204e+01,2.079e+04
26.7,2.571e+04,6.090e+01,6.291e+01,2.583e+04
28.2,2.710e+04,5.850e+01,6.346e+01,2.723e+04
29.8,2.668e+04,5.602e+01,6.291e+01,2.680e+04
31.4,2.991e+04,5.890e+01,6.014e+01,3.003e+04
32.9,3.549e+04,5.706e+01,5.795e+01,3.561e+04
34.5,4.202e+04,5.895e+01,6.012e+01,4.214e+04
36.1,4.947e+04,5.158e+01,5.623e+01,4.958e+04
37.6,5.839e+04,6.786e+01,6.094e+01,5.852e+04
39.2,6.902e+04,8.870e+01,8.730e+01,6.920e+04
40.8,8.059e+04,1.096e+02,1.161e+02,8.082e+04
42.3,9.178e+04,1.042e+02,1.164e+02,9.200e+04
43.9,1.038e+05,1.018e+02,9.572e+01,1.040e+05
45.5,1.171e+05,1.386e+02,9.275e+01,1.174e+05
47.0,1.364e+05,3.307e+02,2.207e+02,1.370e+05
48.6,1.625e+05,8.795e+02,7.888e+02,1.642e+05
50.2,1.967e+05,1.725e+03,1.804e+03,2.002e+05
51.7,2.392e+05,2.417e+03,2.703e+03,2.443e+05
53.3,3.018e+05,2.878e+03,3.341e+03,3.080e+05
54.9,3.065e+05,3.250e+03,4.484e+03,3.142e+05
56.4,2.159e+05,2.660e+03,4.834e+03,2.234e+05
58.0,1.929e+05,2.225e+03,3.923e+03,1.991e+05
59.6,2.249e+05,2.009e+03,2.966e+03,2.298e+05
61.1,2.948e+05,1.709e+03,2.000e+03,2.986e+05
62.7,3.999e+05,1.594e+03,1.775e+03,4.033e+05
64.3,5.438e+05,3.571e+03,4.560e+03,5.519e+05
65.9,7.719e+05,6.617e+03,7.762e+03,7.863e+05
67.4,1.120e+06,6.897e+03,7.876e+03,1.135e+06
69.0,1.503e+06,4.767e+03,7.263e+03,1.515e+06
70.6,1.784e+06,3.812e+03,8.700e+03,1.797e+06
72.1,2.094e+06,5.376e+03,1.087e+04,2.110e+06
