freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.686e+01,3.598e+02,1.055e+03,1.452e+03
1.6,4.514e+01,2.252e+02,6.138e+02,8.841e+02
3.1,2.963e+01,2.858e+01,5.775e+01,1.160e+02
4.7,3.091e+01,3.072e+01,4.547e+02,5.163e+02
6.3,3.255e+01,3.495e+01,1.821e+03,1.888e+03
7.8,5.638e+01,4.311e+01,4.317e+03,4.416e+03
9.4,1.454e+02,3.873e+01,3.646e+03,3.830e+03
11.0,1.501e+02,3.629e+01,2.517e+03,2.703e+03
12.5,7.058e+01,4.614e+01,4.676e+03,4.792e+03
14.1,1.093e+02,5.975e+01,6.430e+03,6.599e+03
15.7,1.862e+02,6.538e+01,4.976e+03,5.228e+03
17.2,2.106e+02,8.801e+01,6.030e+03,6.329e+03
18.8,2.259e+02,8.590e+01,7.196e+03,7.507e+03
20.4,2.106e+02,7.911e+01,8.721e+03,9.011e+03
21.9,1.655e+02,1.227e+02,1.176e+04,1.205e+04
23.5,9.855e+01,1.870e+02,1.482e+04,1.510e+04
25.1,4.997e+01,2.614e+02,1.829e+04,1.860e+04
26.6,5.137e+01,3.719e+02,2.273e+04,2.315e+04
28.2,7.675e+01,5.582e+02,2.833e+04,2.896e+04
29.8,1.119e+02,8.495e+02,3.547e+04,3.643e+04
31.3,1.506e+02,1.389e+03,4.466e+04,4.620e+04
32.9,1.881e+02,2.380e+03,5.630e+04,5.887e+04
34.5,1.901e+02,4.200e+03,7.311e+04,7.750e+04
36.0,2.280e+02,6.316e+03,9.450e+04,1.010e+05
37.6,3.172e+02,8.124e+03,1.190e+05,1.274e+05
39.2,4.351e+02,1.121e+04,1.543e+05,1.659e+05
40.7,4.727e+02,1.846e+04,2.109e+05,2.299e+05
42.3,4.359e+02,3.294e+04,2.982e+05,3.315e+05
43.9,5.807e+02,5.257e+04,4.121e+05,4.653e+05
45.4,9.374e+02,7.568e+04,5.587e+05,6.354e+05
47.0,1.467e+03,1.080e+05,7.731e+05,8.825e+05
48.6,2.346e+03,1.713e+05,1.190e+06,1.364e+06
50.1,8.159e+03,3.744e+05,2.327e+06,2.710e+06
51.7,3.557e+04,8.589e+05,4.471e+06,5.366e+06
53.3,5.983e+04,1.253e+06,5.557e+06,6.870e+06
54.8,5.084e+04,1.046e+06,4.028e+06,5.125e+06
56.4,3.729e+04,8.002e+05,2.637e+06,3.474e+06
58.0,2.758e+04,7.719e+05,2.172e+06,2.972e+06
59.5,1.775e+04,7.839e+05,1.898e+06,2.700e+06
61.1,1.021e+04,7.688e+05,1.566e+06,2.346e+06
62.7,7.153e+03,7.131e+05,1.178e+06,1.898e+06
64.2,6.602e+03,6.316e+05,8.406e+05,1.479e+06
65.8,5.039e+03,5.875e+05,6.505e+05,1.243e+06
67.4,3.099e+03,5.965e+05,5.689e+05,1.169e+06
68.9,2.494e+03,5.742e+05,4.833e+05,1.060e+06
70.5,4.967e+03,5.153e+05,3.915e+05,9.118e+05
72.1,9.785e+03,4.291e+05,3.066e+05,7.455e+05
73.6,1.546e+04,3.025e+05,2.211e+05,5.390e+05
75.2,1.739e+04,1.879e+05,1.536e+05,3.589e+05
76.8,1.261e+04,1.255e+05,1.172e+05,2.553e+05
78.3,1.170e+04,7.975e+04,9.066e+04,1.821e+05
79.9,1.258e+04,5.642e+04,7.561e+04,1.446e+05
81.5,1.951e+04,5.614e+04,7.146e+04,1.471e+05
83.0,2.958e+04,8.574e+04,7.337e+04,1.887e+05
84.6,2.897e+04,1.595e+05,7.779e+04,2.663e+05
86.2,2.312e+04,2.896e+05,8.355e+04,3.962e+05
87.7,1.813e+04,4.606e+05,8.697e+04,5.657e+05
89.3,1.608e+04,6.229e+05,8.566e+04,7.246e+05
90.9,1.721e+04,7.219e+05,7.724e+04,8.163e+05
92.4,2.051e+04,7.465e+05,6.436e+04,8.313e+05
94.0,2.424e+04,6.931e+05,5.013e+04,7.675e+05
95.6,2.711e+04,6.024e+05,3.851e+04,6.680e+05
97.1,3.047e+04,5.134e+05,3.005e+04,5.740e+05
98.7,3.649e+04,4.479e+05,2.537e+04,5.098e+05
100.3,4.446e+04,3.869e+05,2.041e+04,4.518e+05
101.8,5.013e+04,3.222e+05,1.680e+04,3.891e+05
